final_record_alpha_0.7_delta_0.1_factor0.5,total_record
2261.1748859420436,3811.806366138408
2310.317693731289,3839.2868873937305
2279.9219556039625,3818.972172203323
2246.8550644104093,3798.116793214803
2273.474625271086,3815.1917239344293
3998.795910233222,6742.833354651427
4007.4381596604126,6826.853757351907
4023.935563356399,6841.394640688492
4005.9371917520157,6825.559827427768
4098.9962709314,6951.5531061207375
6978.935375980498,12110.254215070581
7028.091288502045,12112.798732300733
6928.295039242666,12064.295523232035
6923.480765563184,12023.071161572052
7063.060996100461,12223.324432826894
9640.41113137087,16864.627636599234
9770.663361243378,17115.830086468763
9747.35456943132,17111.671590389342
9811.641334826583,17191.99699628902
9802.471144038389,17143.37575242884
0,0
0,0
0,0
0,0
0,0
