final_record_alpha_0.8_delta_0.2_factor0.675,total_record
315.5815999999998,1218.750999999989
302.8973999999998,1209.3425999999904
314.0210000000003,1188.290999999989
294.47379999999936,1196.9817999999896
293.6286,1237.9669999999896
478.3171364871899,1944.2495520257335
478.08593897880286,2028.831260169293
464.1994343272568,1841.7592605799935
486.1055108507362,1931.1044318977774
462.19770603344205,1900.8651815327864
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
