final_record_alpha_0.9_delta_0.05_factor0.75,total_record
212.19919284566282,403.67653082419207
205.1920145685086,429.4849025111349
229.72150287072097,455.99729680812726
229.28974507221892,450.2495924169544
231.69073353799274,433.0269841209443
259.32524299310666,591.5999423286446
327.3797960993939,677.4955146229215
302.4790651444556,657.4598100250787
319.98090112782796,617.2014641872084
313.7827318152562,680.2741422416794
383.377113510064,983.322927561009
405.82628915495974,951.4388759189346
386.8425982384491,902.1097747192989
377.9539663485951,917.5713712799669
396.7832320790351,952.6720235348137
490.1522932024322,1259.8540777997007
460.33106514128525,1098.5768728954586
454.21670448336425,1196.6249362837702
490.95729621824347,1174.145878310656
515.045837283546,1181.427906564256
591.6751836727695,1383.3441474072768
500.6507753795232,1351.7218450394055
533.1874060098294,1379.5403277438434
541.702105241089,1372.6623917996628
511.44153652799474,1401.386221912387
