final_record_alpha_0.8_delta_0.05_factor0.75,total_record
446.5857999999859,797.0043999999742
456.4251999999905,797.6571999999753
438.8217999999938,746.277999999983
483.29039999998633,860.8801999999754
455.5837999999848,817.7835999999726
648.0614218579287,1261.1208154614033
613.9196664255516,1200.3754401821984
684.1924665970743,1217.909258945956
580.0337039752151,1127.7395040203967
585.4226676733895,1106.2722673762853
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
