final_record_alpha_0.9_delta_0.2_factor0.675,total_record
176.17593063101867,702.6755683849378
188.42886931525368,729.1151542468607
191.91252479671041,731.8545308211536
183.2511355694872,737.0248566846627
166.89819819582326,730.7872258975746
270.77361318324233,1118.0080527839264
259.8816221152343,1161.5169248190018
260.05892915886204,1123.0298823788369
241.43953885608707,1206.1835823827655
253.71638644555105,1195.6764955507626
360.28844396472766,1774.7247016078634
369.8199637914804,1696.801666541455
352.65576430943554,1663.5977677360368
378.4443449675283,1798.4410546149306
367.40321283377614,1750.0628370885697
466.8460499168961,2381.0864916677338
441.86615698111297,2180.7630801168516
448.6595889542776,2227.239017430804
439.0878625545477,2181.257792515131
436.2341453648666,2262.5198036549054
0,0
0,0
0,0
0,0
0,0
