final_record_alpha_0.8_delta_0.1_factor0.5,total_record
278.07439999999457,841.7615999999766
244.9269999999993,762.8883999999782
291.67279999999704,798.9023999999858
263.50899999999683,843.6605999999719
267.7181999999968,822.1253999999763
273.5402000000007,817.3001999999816
265.7905999999933,885.0297999999672
299.3219999999958,806.9169999999798
275.5819999999946,872.3251999999701
278.2953999999898,880.9959999999629
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
