final_record_alpha_0.9_delta_0.2_factor0.5,total_record
691.3215055946483,2210.1664649031964
686.4850578551707,2103.9494965542835
687.2913689016951,2150.4978544495157
652.8372121255611,2055.5362648727455
705.7709443159268,2250.582682126232
1072.1992458503214,3691.8236204468953
1063.4229627061493,3727.692281458693
1103.5339379722102,3618.254883318185
1079.95810078546,3571.1277316393875
1075.6719635298602,3721.0711330630847
1688.5168900775366,6307.298053899351
1711.1833428770597,6268.522719241813
1729.0560808519092,6296.922276693915
1700.5689508448968,6075.474887480493
1739.5863841078092,6510.772174419938
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
