final_record_alpha_0.9_delta_0.2_factor0.675,total_record
176.17593063101867,702.6755683849378
188.42886931525368,729.1151542468607
191.91252479671041,731.8545308211536
183.2511355694872,737.0248566846627
166.89819819582326,730.7872258975746
270.77361318324233,1118.0080527839264
259.8816221152343,1161.5169248190018
260.05892915886204,1123.0298823788369
241.43953885608707,1206.1835823827655
253.71638644555105,1195.6764955507626
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
