final_record_alpha_0.8_delta_0.05_factor0.675,total_record
803.2633999999969,1164.6925999999917
851.6685999999946,1228.011999999986
805.8385999999982,1185.9061999999935
814.7553999999978,1199.0417999999888
846.3768000000007,1229.010599999995
1268.9943984850622,1894.2774246381466
1303.0413442270296,1925.6402860970609
1323.7574176311437,1975.0464145498079
1314.8432034691468,2004.5900877889394
1261.5826652896656,1893.6072128097205
2020.5137714860869,3175.0912046536946
1947.2567569144314,2938.9795695468365
1968.204158793603,2942.7978751102537
1934.9037822683229,2988.395406408832
2131.145109676595,3240.77202982927
2560.5705743898416,3967.1940275885945
2518.9243007521277,3900.5045955402243
2503.0927088953194,3940.8119596587226
2623.833074661634,4058.7938680318457
2513.765219215745,3900.977757443741
0,0
0,0
0,0
0,0
0,0
