final_record_alpha_0.7_delta_0.2_factor0.75,total_record
207.5183592613596,1435.5713057057437
218.09490376602642,1357.77874465377
214.2724551110589,1389.3602870557545
215.28326104691845,1356.116609406683
241.1472036277947,1468.0918807278497
301.3416149664923,2211.335213987246
343.50681150160864,2271.201393583345
348.59365522939,2192.347779808615
304.8242056514767,2105.8545307426666
328.6650809736087,2350.9418846287517
481.911958560793,3481.175442394121
504.7820845700716,3378.3212517969646
481.97409631796256,3541.9471811526887
496.4376764612204,3445.652237048299
463.0120611721406,3456.413421453231
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
