final_record_alpha_0.8_delta_0.05_factor0.5,total_record
2289.016399999996,3019.779599999992
2233.6090000000004,2971.7279999999937
2189.3289999999993,2888.1299999999824
2155.3837999999996,2863.7502
2270.289800000001,2993.6882000000037
3924.20247555621,5231.686744737963
3908.2542567400474,5226.9945602050575
3772.4079766892723,5040.693413577048
3845.397000899124,5134.628386046748
3749.426451798732,5005.782496727736
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
