final_record_alpha_0.9_delta_0.05_factor0.5,total_record
1659.2821129624022,2204.0752907899196
1641.5260433832916,2201.5233919397015
1588.6972233395024,2132.930027697573
1621.784301322382,2155.842211527158
1606.5626135133198,2121.979085438857
2622.461644697727,3619.707459940065
2677.245847643512,3655.2288436729423
2728.459957768219,3745.4320110696513
2716.72821562998,3704.7331028828276
2682.264811523196,3671.395159898969
4353.026768607745,6117.65938893069
4454.546598377641,6227.247578643015
4546.857884487912,6335.337373788668
4372.618419671769,6136.542297470373
4374.574122622545,6089.1375836493025
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
