final_record_alpha_0.7_delta_0.2_factor0.675,total_record
536.9475552515174,1995.326100733485
506.8371406222593,1871.783065142167
510.8657683571825,1900.9104706397616
482.853954709131,1728.1353676578985
509.7433343251289,1849.8915734039135
832.8784578732398,3053.244771586121
804.2687546236281,3179.2144492495304
844.7757740037473,3249.6992974964796
827.4178767809882,3098.4347689388264
807.4660522204091,3074.769135327419
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
