IFYL,IFY,correct,neural_correct,epoch,MU
0.420516014,0.597698212,0.790543258,0.980717659,87,0.177182198
0.420477897,0.597654939,0.790543079,0.980697393,88,0.177177042
0.420511574,0.597698987,0.790547013,0.980713129,89,0.177187413
0.420582324,0.597776115,0.790548325,0.980743766,90,0.177193791
0.420612246,0.597811222,0.790550411,0.980758309,91,0.177198976
0.42060259,0.597808778,0.790553629,0.980754673,92,0.177206188
0.420598149,0.597802997,0.790554345,0.980749905,93,0.177204847
0.420545459,0.597748995,0.790555537,0.98072809,94,0.177203536
0.42062068,0.597829282,0.790557027,0.980759263,95,0.177208602
0.42060113,0.597809494,0.790557623,0.980750203,96,0.177208364
0.420634329,0.597849369,0.790560365,0.98076582,97,0.17721504
0.420590669,0.597804785,0.79056108,0.980746508,98,0.177214116
0.420610696,0.597829282,0.790562749,0.980755687,99,0.177218586
