final_record_alpha_0.8_delta_0.1_factor0.5,total_record
1662.9045999999978,2927.2122
1616.9581999999998,2849.66660000001
1671.0735999999965,2909.3064000000168
1696.3821999999968,2983.8661999999977
1666.4635999999987,2923.4241999999986
2883.3812574387334,5160.557955352401
2850.4689167071497,5098.147470712103
2895.797727265094,5143.431982732241
2851.3713664196594,5129.924651424595
2911.2917810126964,5184.946689971211
4896.25021131153,8934.765100877521
4867.34814073703,8851.252361704703
4874.038785971266,8882.434348183566
4848.971492703977,8827.31678771362
4885.7719021945895,8820.287386302736
6604.9168368406745,12329.849922180229
6591.344917170509,12223.625713439871
6616.126848430468,12254.396030579284
6586.004044958898,12235.371136407062
6583.435328396574,12319.932437031037
0,0
0,0
0,0
0,0
0,0
