final_record_alpha_0.8_delta_0.05_factor0.75,total_record
446.5857999999859,797.0043999999742
456.4251999999905,797.6571999999753
438.8217999999938,746.277999999983
483.29039999998633,860.8801999999754
455.5837999999848,817.7835999999726
648.0614218579287,1261.1208154614033
613.9196664255516,1200.3754401821984
684.1924665970743,1217.909258945956
580.0337039752151,1127.7395040203967
585.4226676733895,1106.2722673762853
876.8831277579906,1838.3388260820213
918.461591839632,1920.6520157955738
932.0464279814404,1883.7532609211835
921.4175688695909,1879.8469967855742
968.8206929055303,1946.9622919999829
1122.175463487743,2450.3780750053493
1199.7668519490212,2507.421398176172
1154.2240233939333,2412.0700035557093
1135.0194519404668,2427.562811256948
1095.8918595658035,2298.7187516581916
0,0
0,0
0,0
0,0
0,0
