final_record_alpha_0.8_delta_0.2_factor0.75,total_record
94.13680000000285,816.0677999999734
107.88400000000263,780.3525999999772
109.13320000000344,768.6693999999767
99.44720000000243,833.6223999999711
101.09940000000265,766.9825999999807
160.08731018270572,1196.7336957654081
177.23033014875426,1240.9973433685616
156.07351672773098,1219.9106334235132
172.73508424878176,1196.8208529704223
169.67302868714268,1136.750867900128
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
