final_record_alpha_0.7_delta_0.05_factor0.675,total_record
1308.4461409279752,1833.296887977568
1332.07098044305,1878.1787075680504
1298.1787323693968,1832.605398417118
1332.0288811481787,1888.0355128961926
1328.3892766289814,1872.316830568473
2167.4402839128925,3082.0085785849046
2143.889025563066,3058.659894063804
2172.4397203755034,3079.8968404593265
2227.4009760818035,3180.2253193001666
2190.0434512626857,3127.3373865777066
3508.9619090850447,5087.690295074005
3491.132445533215,5063.73195088717
3607.721239339633,5275.794269131453
3586.689715798839,5225.580356560988
3452.4509965021984,5020.917980732201
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
