alpha,delta,factor,time,minus_delta,total_record
0.8,0.1,0.675,800000,2212.726735,4987.214404
0.8,0.2,0.5,100000,916.5776,2936.0806
0.8,0.2,0.5,100000,926.7248,2946.5588
0.8,0.2,0.5,100000,915.5982,2922.9288
0.8,0.2,0.5,100000,950.0068,2984.9102
0.8,0.2,0.5,100000,928.526,2968.3188
0.8,0.2,0.5,200000,1600.984074,5128.402989
0.8,0.2,0.5,200000,1562.148328,5023.937708
0.8,0.2,0.5,200000,1599.658894,4996.778719
0.8,0.2,0.5,200000,1570.367559,5091.382936
0.8,0.2,0.5,200000,1583.329996,5051.891081
0.8,0.2,0.5,400000,2677.920155,8887.943748
0.8,0.2,0.5,400000,2658.252709,8931.638844
0.8,0.2,0.5,400000,2646.212351,9005.792564
0.8,0.2,0.5,400000,2628.130007,8797.306576
0.8,0.2,0.5,400000,2651.868864,8851.604017
0.8,0.2,0.5,600000,3564.798082,12237.59854
0.8,0.2,0.5,600000,3558.883095,12165.04532
0.8,0.2,0.5,600000,3598.272365,12404.76163
0.8,0.2,0.5,600000,3601.958058,12222.40478
0.8,0.2,0.5,600000,3593.525688,12161.26383
0.8,0.2,0.5,800000,4469.200052,15359.10628
0.8,0.2,0.5,800000,4411.490001,15272.08146
0.8,0.2,0.5,800000,4430.051227,15636.92231
0.8,0.2,0.5,800000,4454.365446,15356.47145
0.8,0.2,0.5,800000,4360.775666,15221.37807
0.8,0.2,0.75,100000,94.1368,816.0678
0.8,0.2,0.75,100000,107.884,780.3526
0.8,0.2,0.75,100000,109.1332,768.6694
0.8,0.2,0.75,100000,99.4472,833.6224
0.8,0.2,0.75,100000,101.0994,766.9826
0.8,0.2,0.75,200000,160.0873102,1196.733696
0.8,0.2,0.75,200000,177.2303301,1240.997343
0.8,0.2,0.75,200000,156.0735167,1219.910633
0.8,0.2,0.75,200000,172.7350842,1196.820853
0.8,0.2,0.75,200000,169.6730287,1136.750868
0.8,0.2,0.75,400000,260.4554085,1908.76088
0.8,0.2,0.75,400000,256.3173774,1823.167836
0.8,0.2,0.75,400000,233.6557086,1742.335562
0.8,0.2,0.75,400000,249.9816894,1866.703856
0.8,0.2,0.75,400000,239.83163,1931.329969
0.8,0.2,0.75,600000,318.1912842,2309.480156
0.8,0.2,0.75,600000,320.2929742,2265.654655
0.8,0.2,0.75,600000,315.1334465,2492.795117
0.8,0.2,0.75,600000,325.4928227,2369.912384
0.8,0.2,0.75,600000,305.3799411,2305.716128
0.8,0.2,0.75,800000,400.2349672,2798.803902
0.8,0.2,0.75,800000,385.4096217,2870.225254
0.8,0.2,0.75,800000,386.6512813,2612.818972
0.8,0.2,0.75,800000,398.943174,2808.800077
0.8,0.2,0.75,800000,374.1339089,2968.201486
0.8,0.2,0.675,100000,315.5816,1218.751
0.8,0.2,0.675,100000,302.8974,1209.3426
0.8,0.2,0.675,100000,314.021,1188.291
0.8,0.2,0.675,100000,294.4738,1196.9818
0.8,0.2,0.675,100000,293.6286,1237.967
0.8,0.2,0.675,200000,478.3171365,1944.249552
0.8,0.2,0.675,200000,478.085939,2028.83126
0.8,0.2,0.675,200000,464.1994343,1841.759261
0.8,0.2,0.675,200000,486.1055109,1931.104432
0.8,0.2,0.675,200000,462.197706,1900.865182
0.8,0.2,0.675,400000,738.3339532,3052.952496
0.8,0.2,0.675,400000,728.2490128,3088.229862
0.8,0.2,0.675,400000,719.6321619,2962.575005
0.8,0.2,0.675,400000,754.6159988,3128.463263
0.8,0.2,0.675,400000,713.6589111,2981.303497
0.8,0.2,0.675,600000,956.2603465,4143.203951
0.8,0.2,0.675,600000,886.1057421,3924.077158
0.8,0.2,0.675,600000,925.0745998,3866.174511
0.8,0.2,0.675,600000,939.2134256,3903.039584
0.8,0.2,0.675,600000,929.1748952,3907.621554
0.8,0.2,0.675,800000,1103.89564,4854.096184
0.8,0.2,0.675,800000,1125.1722,4759.420939
0.8,0.2,0.675,800000,1079.434831,4825.303506
0.8,0.2,0.675,800000,1121.444375,5016.182803
0.8,0.2,0.675,800000,1133.813788,4817.716527
0.8,0.05,0.5,100000,2289.0164,3019.7796
0.8,0.05,0.5,100000,2233.609,2971.728
0.8,0.05,0.5,100000,2189.329,2888.13
0.8,0.05,0.5,100000,2155.3838,2863.7502
0.8,0.05,0.5,100000,2270.2898,2993.6882
0.8,0.05,0.5,200000,3924.202476,5231.686745
0.8,0.05,0.5,200000,3908.254257,5226.99456
0.8,0.05,0.5,200000,3772.407977,5040.693414
0.8,0.05,0.5,200000,3845.397001,5134.628386
0.8,0.05,0.5,200000,3749.426452,5005.782497
0.8,0.05,0.5,400000,6522.303903,8840.646943
0.8,0.05,0.5,400000,6449.150858,8735.627776
0.8,0.05,0.5,400000,6553.358274,8904.056103
0.8,0.05,0.5,400000,6657.179361,8967.58528
0.8,0.05,0.5,400000,6503.491832,8785.0119
0.8,0.05,0.5,600000,8844.235635,12059.0142
0.8,0.05,0.5,600000,9022.814807,12308.82493
0.8,0.05,0.5,600000,8805.983803,12066.62354
0.8,0.05,0.5,600000,9004.143691,12226.55916
0.8,0.05,0.5,600000,8976.223916,12229.97557
0.8,0.05,0.5,800000,11213.56556,15372.93663
0.8,0.05,0.5,800000,11306.23143,15477.57884
0.8,0.05,0.5,800000,11168.6846,15327.04947
0.8,0.05,0.5,800000,11083.71596,15204.04207
0.8,0.05,0.5,800000,11101.23915,15210.58452
0.8,0.05,0.75,100000,446.5858,797.0044
0.8,0.05,0.75,100000,456.4252,797.6572
0.8,0.05,0.75,100000,438.8218,746.278
0.8,0.05,0.75,100000,483.2904,860.8802
0.8,0.05,0.75,100000,455.5838,817.7836
0.8,0.05,0.75,200000,648.0614219,1261.120815
0.8,0.05,0.75,200000,613.9196664,1200.37544
0.8,0.05,0.75,200000,684.1924666,1217.909259
0.8,0.05,0.75,200000,580.033704,1127.739504
0.8,0.05,0.75,200000,585.4226677,1106.272267
0.8,0.05,0.75,400000,876.8831278,1838.338826
0.8,0.05,0.75,400000,918.4615918,1920.652016
0.8,0.05,0.75,400000,932.046428,1883.753261
0.8,0.05,0.75,400000,921.4175689,1879.846997
0.8,0.05,0.75,400000,968.8206929,1946.962292
0.8,0.05,0.75,600000,1122.175463,2450.378075
0.8,0.05,0.75,600000,1199.766852,2507.421398
0.8,0.05,0.75,600000,1154.224023,2412.070004
0.8,0.05,0.75,600000,1135.019452,2427.562811
0.8,0.05,0.75,600000,1095.89186,2298.718752
0.8,0.05,0.75,800000,1286.572481,2819.008287
0.8,0.05,0.75,800000,1244.811523,2586.759648
0.8,0.05,0.75,800000,1301.192762,2844.590273
0.8,0.05,0.75,800000,1283.337137,2828.830147
0.8,0.05,0.75,800000,1229.056106,2627.658031
0.8,0.05,0.675,100000,803.2634,1164.6926
0.8,0.05,0.675,100000,851.6686,1228.012
0.8,0.05,0.675,100000,805.8386,1185.9062
0.8,0.05,0.675,100000,814.7554,1199.0418
0.8,0.05,0.675,100000,846.3768,1229.0106
0.8,0.05,0.675,200000,1268.994398,1894.277425
0.8,0.05,0.675,200000,1303.041344,1925.640286
0.8,0.05,0.675,200000,1323.757418,1975.046415
0.8,0.05,0.675,200000,1314.843203,2004.590088
0.8,0.05,0.675,200000,1261.582665,1893.607213
0.8,0.05,0.675,400000,2020.513771,3175.091205
0.8,0.05,0.675,400000,1947.256757,2938.97957
0.8,0.05,0.675,400000,1968.204159,2942.797875
0.8,0.05,0.675,400000,1934.903782,2988.395406
0.8,0.05,0.675,400000,2131.14511,3240.77203
0.8,0.05,0.675,600000,2560.570574,3967.194028
0.8,0.05,0.675,600000,2518.924301,3900.504596
0.8,0.05,0.675,600000,2503.092709,3940.81196
0.8,0.05,0.675,600000,2623.833075,4058.793868
0.8,0.05,0.675,600000,2513.765219,3900.977757
0.8,0.05,0.675,800000,3198.797415,4934.5793
0.8,0.05,0.675,800000,3092.753009,4787.672377
0.8,0.05,0.675,800000,3106.545531,4871.574051
0.8,0.05,0.675,800000,3022.57521,4740.439659
0.8,0.05,0.675,800000,3083.929691,4797.767366
0.9,0.1,0.5,100000,1237.264983,2179.160863
0.9,0.1,0.5,100000,1208.038867,2166.697997
0.9,0.1,0.5,100000,1227.687432,2207.195732
0.9,0.1,0.5,100000,1210.659779,2156.621852
0.9,0.1,0.5,100000,1190.857776,2128.624363
0.9,0.1,0.5,200000,1964.926341,3605.268772
0.9,0.1,0.5,200000,2016.033995,3671.367846
0.9,0.1,0.5,200000,2047.375701,3798.502703
0.9,0.1,0.5,200000,2054.117386,3783.469464
0.9,0.1,0.5,200000,2003.771729,3725.563126
0.9,0.1,0.5,400000,3163.497935,6067.084877
0.9,0.1,0.5,400000,3319.157999,6356.459699
0.9,0.1,0.5,400000,3328.402076,6513.095035
0.9,0.1,0.5,400000,3262.155184,6366.12661
0.9,0.1,0.5,400000,3246.941175,6282.402307
0.9,0.1,0.5,600000,4255.425741,8479.838108
0.9,0.1,0.5,600000,4293.450237,8573.001277
0.9,0.1,0.5,600000,4380.075807,8645.584899
0.9,0.1,0.5,600000,4260.939984,8436.239849
0.9,0.1,0.5,600000,4242.700747,8594.465889
0.9,0.1,0.5,800000,5209.878851,10797.69728
0.9,0.1,0.5,800000,5131.38014,10455.71732
0.9,0.1,0.5,800000,5221.414901,10580.85117
0.9,0.1,0.5,800000,5130.348157,10669.32131
0.9,0.1,0.5,800000,5099.155809,10489.13297
0.9,0.1,0.75,100000,121.9503125,418.6081467
0.9,0.1,0.75,100000,141.8827185,442.9252009
0.9,0.1,0.75,100000,132.1110173,441.9344766
0.9,0.1,0.75,100000,121.7418991,425.2243584
0.9,0.1,0.75,100000,121.4473426,504.8863943
0.9,0.1,0.75,200000,203.942228,547.6951482
0.9,0.1,0.75,200000,191.1598251,678.5439255
0.9,0.1,0.75,200000,197.9888389,708.1807229
0.9,0.1,0.75,200000,186.2711783,646.0570566
0.9,0.1,0.75,200000,173.1969436,741.0858173
0.9,0.1,0.75,400000,277.8617466,945.5540101
0.9,0.1,0.75,400000,271.2076716,887.1878328
0.9,0.1,0.75,400000,216.4451678,953.1020471
0.9,0.1,0.75,400000,246.1437223,967.2802212
0.9,0.1,0.75,400000,242.101942,980.0462032
0.9,0.1,0.75,600000,340.675638,1167.229517
0.9,0.1,0.75,600000,319.3334104,1175.612909
0.9,0.1,0.75,600000,305.3346056,1145.45147
0.9,0.1,0.75,600000,333.9536613,1136.315258
0.9,0.1,0.75,600000,299.9443625,1158.63523
0.9,0.1,0.75,800000,360.6478482,1448.158825
0.9,0.1,0.75,800000,339.3654455,1480.537412
0.9,0.1,0.75,800000,372.0373026,1492.370288
0.9,0.1,0.75,800000,345.2978171,1426.333589
0.9,0.1,0.75,800000,320.0729751,1423.979036
0.9,0.1,0.675,100000,346.9399707,731.8148382
0.9,0.1,0.675,100000,353.5875033,766.2829248
0.9,0.1,0.675,100000,346.057354,774.2247082
0.9,0.1,0.675,100000,357.7903339,774.8355206
0.9,0.1,0.675,100000,358.1516017,747.4585319
0.9,0.1,0.675,200000,496.7880257,1145.026546
0.9,0.1,0.675,200000,513.3752521,1226.267822
0.9,0.1,0.675,200000,492.2613025,1123.727589
0.9,0.1,0.675,200000,525.6204326,1198.828403
0.9,0.1,0.675,200000,540.9322186,1185.651087
0.9,0.1,0.675,400000,737.0819037,1779.894752
0.9,0.1,0.675,400000,687.8518558,1575.30982
0.9,0.1,0.675,400000,787.8941531,1840.101855
0.9,0.1,0.675,400000,793.2981126,1838.01514
0.9,0.1,0.675,400000,728.7388777,1804.775723
0.9,0.1,0.675,600000,934.0805624,2291.431944
0.9,0.1,0.675,600000,904.1435832,2333.228928
0.9,0.1,0.675,600000,934.0669977,2282.730174
